full_address,performance,exhibition_visual_arts,screen_based,library,multipurpose,heritage,ownership
"1507 Lawrence Ave. West, Toronto, ON, M6L 1A8",NA,NA,NA,NA,1,NA,City Owned
"2000 Keele St., Toronto, ON, M6M 3Y4",1,NA,NA,NA,1,NA,Owned by others
"2801 Eglinton Avenue West, Toronto, ON, M6M 5B4",NA,NA,NA,NA,1,NA,City Owned
"145 Annette Street, Toronto, ON, M6P 1P3",1,NA,NA,1,NA,NA,City Owned
"333 Annette Street, Toronto, ON, M6P 1R3",1,NA,NA,NA,1,NA,City Owned
"16 Baby Point Road, Toronto, ON, M6S 2E9",1,NA,NA,NA,1,NA,Owned by others
"1873 Bloor Street West, Toronto, ON, M6R 2Z3",1,NA,NA,NA,1,NA,City Owned
"2118 Bloor Street West, A, Suite 204, Toronto, ON, M6S 1M8",NA,1,NA,NA,1,NA,Owned by others
"2178 Bloor Street West, Toronto, ON, M6S 1M8",NA,1,NA,1,NA,NA,City Owned
"2190 Bloor Street West, E, Toronto, ON, M6S 1N3",1,NA,NA,NA,NA,NA,Owned by others
"2225 Bloor Street West, Toronto, ON, M6S 1M7",1,NA,NA,NA,1,NA,Owned by others
"11 Colborne Lodge Drive, Toronto, ON, M6R 2Z3",1,NA,NA,NA,1,1,City Owned
"2861 Dundas Street West, Toronto, ON, M6P 1Y9",NA,1,NA,NA,NA,NA,Owned by others
"2867 Dundas Street West, A, Toronto, ON, M6P 1Y9",1,NA,NA,NA,NA,NA,Owned by others
"2872 Dundas Street West, Toronto, ON, M6P 1Y9",1,NA,NA,NA,NA,NA,Owned by others
"2928 Dundas Street West, Toronto, ON, M6P 1Y8",NA,1,NA,NA,NA,NA,Owned by others
"2959 Dundas Street West, Toronto, ON, M6P 1Z2",NA,1,NA,NA,NA,NA,Owned by others
"2968 Dundas Street West, Toronto, ON, M6P 1Y8",NA,1,NA,NA,NA,NA,Owned by others
"2988 Dundas Street West, Toronto, ON, M6P 1X6",NA,1,NA,NA,NA,NA,Owned by others
"3010 Dundas Street West, Toronto, ON, M6P 1Z3",NA,1,NA,NA,NA,NA,Owned by others
"3015 Dundas Street West, Toronto, ON, M6P 1Z4",1,1,NA,NA,NA,NA,Owned by others
"3030 Dundas Street West, Toronto, ON, M6P 1Z3",1,1,1,NA,1,NA,Owned by others
"3048 Dundas Street West, Toronto, ON, M6P 1Z3",1,NA,NA,NA,NA,NA,Owned by others
"3079 Dundas Street West, Toronto, ON, M6P 1Z9",1,NA,NA,NA,1,NA,Owned by others
"3079 Dundas Street West, B, Toronto, ON, M6P 1Z9",1,1,NA,NA,1,NA,Owned by others
"3148 Dundas Street West, Toronto, ON, M6P 2A1",NA,1,NA,NA,NA,NA,Owned by others
"3352 Dundas Street West, Toronto, ON, M6P 2A4",1,NA,NA,NA,NA,NA,Owned by others
"3465 Dundas Street West, Toronto, ON, M6S 2S5",1,1,NA,NA,NA,NA,Owned by others
