full_address,performance,exhibition_visual_arts,screen_based,library,multipurpose,heritage,ownership
"33 Overland Drive, Toronto, ON, M3C 2C3",1,NA,NA,NA,NA,NA,Owned by others
"2180 Bayview Avenue, Toronto, ON, M4N 3K7",1,NA,NA,NA,1,NA,Owned by others
"81 Ranleigh Avenue, Toronto, ON, M4N 1X2",NA,NA,NA,NA,1,NA,City Owned
"25 Wanless Avenue, Toronto, ON, M4N 1V5",1,NA,NA,NA,NA,NA,Owned by others
"3083 Yonge Street, Toronto, ON, M4N 2K7",1,NA,NA,1,NA,NA,City operated
"490 York Mills Road, Toronto, ON, M3B 1W6

",1,1,NA,NA,1,NA,Owned by others
"1399 Bayview Avenue, Toronto, ON, M4G 3A6",1,NA,NA,NA,1,NA,Owned by others
"1847 Bayview Avenue, Toronto, ON, M4G 3E4",1,NA,NA,NA,1,NA,Owned by others
"76 Bennington Heights Drive, Toronto, ON, M4G 1B1",NA,NA,NA,NA,1,NA,Owned by others
"770 Don Mills Road, Toronto, ON, M3C 1T3",1,1,1,NA,1,NA,Owned by others
"670 Eglinton Avenue East, Toronto, ON, M4G 2K4",1,NA,NA,NA,1,NA,Owned by others
"6 Garamond Court, Toronto, ON, M3C 1Z5",1,1,NA,NA,NA,NA,Owned by others
"28 Industrial Street, Toronto, ON, M4G 1Y9",NA,1,NA,NA,NA,NA,Owned by others
"51 Laird Drive, Toronto, ON, M4G 3T4",NA,1,NA,NA,NA,NA,Owned by others
"165 McRae Drive, Toronto, ON, M4G 1S8",1,1,NA,1,NA,NA,City Owned
"1073 Millwood Road, Toronto, ON, M4G 1X6",NA,NA,NA,NA,1,NA,City Owned
"76 Overlea Boulevard, Toronto, ON, M4H 1C5",1,NA,NA,NA,1,NA,Owned by others
"29 St. Dennis Drive, Toronto, ON, M3C 3J3",1,NA,NA,1,NA,NA,City operated
"46 Thorncliffe Park Drive, Toronto, ON, M4H 1J7",NA,1,1,NA,1,NA,City Owned
"48 Thorncliffe Park Drive, Toronto, ON, M4H 1J7",NA,NA,NA,1,NA,NA,City operated
"105 Vanderhoof Avenue, Toronto, ON, M4G 2H7",NA,1,NA,NA,NA,NA,Owned by others
"123 Wynford Drive, Toronto, ON, M3C 1K1",1,1,1,NA,1,NA,Owned by others
"822 Millwood Road, Toronto, ON, M4G 1W4",1,NA,NA,NA,1,NA,Owned by others
"1 MacNaughton Road, Toronto, ON, M4G 3H3 ",1,NA,NA,NA,1,NA,Owned by others
"822 Millwood Road, Toronto, ON, M4G 1W4",1,NA,NA,NA,NA,NA,Owned by others
"16 Thorncliffe Park Drive, Toronto, ON, M4H 1H4",1,NA,NA,NA,1,NA,Owned by others
"105 Vanderhoof Avenue, Toronto, ON, M4G 2H7",1,NA,NA,NA,NA,NA,Owned by others
"94 Laird Drive, Toronto, ON, M4G 3V2",1,NA,NA,NA,NA,NA,Owned by others
"88 Laird Drive, Toronto, ON, M4G 3V1",1,NA,NA,NA,NA,NA,Owned by others
"862 Millwood Road, Toronto, ON, M4G 1W6",1,NA,NA,NA,NA,NA,Owned by others
"200 Hanna Road, Toronto, ON, M4G 3N8",1,NA,NA,NA,1,NA,Owned by others
"110 Rumsey Road, Toronto, ON, M4G 1P2",NA,NA,NA,NA,1,NA,City Owned
"15 Gervais Drive, Suite 202, Toronto, ON, M3C 1Y8",NA,NA,NA,NA,1,NA,Owned by others
"6 Thorncliffe Park Drive, Toronto, ON, M4H 2S4",NA,NA,NA,NA,1,NA,Owned by others
"1 Laird Drive, Toronto, ON, M4G 3S8",NA,NA,NA,NA,1,NA,Owned by others
"45 Esandar Drive, Toronto, ON, M4G 4C5",NA,NA,NA,NA,1,NA,Owned by others
"1595 Bayview Avenue, Toronto, ON, M4G 3B5",1,NA,NA,NA,NA,NA,Owned by others
"190 Laird Drive, Toronto, ON, M4G 3W2",1,NA,NA,NA,NA,NA,Owned by others
"1541A Bayview Avenue, Toronto, ON, M4G 3B5",NA,1,NA,NA,NA,NA,Owned by others
"150 Laird Drive, Toronto, ON, M4G 3V7",1,NA,NA,NA,NA,NA,Owned by others
"76 Overlea Boulevard, Toronto, ON, M4H 1C5",1,NA,NA,NA,1,NA,Owned by others
"1929 Bayview Avenue, Toronto, ON, M4G 3E8",NA,NA,NA,NA,1,NA,Owned by others
"12 Alexander Street, Toronto, ON, M4Y 1B4",1,NA,NA,NA,NA,NA,City Owned
"83 Alexander Street, Toronto, ON, M4Y 1B7",1,NA,NA,NA,1,NA,Owned by others
"49 Avenue Road, Toronto, ON, M5R 2G3",NA,1,NA,NA,NA,NA,Owned by others
"111 Avenue Road, Toronto, ON, M5R 3J8",NA,NA,NA,NA,1,NA,Owned by others
"217 Avenue Road, Toronto, ON, M5R 2J3",NA,1,NA,NA,NA,NA,Owned by others
"243 Avenue Road, Toronto, ON, M5R 2J6",NA,NA,NA,NA,1,NA,Owned by others
"900 Bay Street, Toronto, ON, M7A 2E3",NA,1,NA,NA,NA,NA,Owned by others
"117 Bloor Street East, Toronto, ON, M4W 3G8",1,NA,NA,NA,1,NA,Owned by others
"121 Bloor Street East, Toronto, ON, M4W 1A9",NA,NA,1,NA,NA,NA,Owned by others
"227 Bloor Street East, Toronto, ON, M4W 1C8",1,NA,NA,NA,1,NA,Owned by others
"711 Bloor Street East, Toronto, ON, M4W 1J4",1,NA,NA,NA,1,NA,Owned by others
"55 Bloor Street West, Toronto, ON, M4W 1A5",NA,NA,1,NA,NA,NA,Owned by others
"80 Bloor Street West, Concourse level Suite C1, Toronto, ON, M5S 2V1",NA,1,NA,NA,NA,NA,Owned by others
"131 Bloor Street West, Suite 213, Toronto, ON, M5S 1R1",1,1,NA,NA,NA,NA,Owned by others
"162 Bloor Street West, Toronto, ON, M5S 1M4",1,NA,NA,NA,NA,NA,Owned by others
"82 Bond Street, Toronto, ON, M5B 1X2",NA,1,NA,NA,NA,1,City Owned
"20 Carlton Street, Toronto, ON, M5B 2H5",NA,NA,1,NA,NA,NA,Owned by others
"55 Centre Avenue, Toronto, ON, M5G 2H5",NA,1,NA,NA,NA,NA,Owned by others
"93 Charles Street West, Toronto, ON, M5S 2C7",1,NA,NA,NA,NA,NA,Owned by others
"200 Church Street, Toronto, ON, M5B 1Z2",1,NA,NA,NA,NA,NA,Owned by others
"467 Church Street, Toronto, ON, M4Y 2C5",NA,1,NA,NA,NA,NA,Owned by others
"487 Church Street, Toronto, ON, M4Y 2C6",1,NA,NA,NA,NA,NA,Owned by others
"500 Church Street, Toronto, ON, M4Y 2C8",NA,1,NA,NA,NA,NA,Owned by others
"511 Church Street, Suite 200, Toronto, ON, M4Y 2C9",NA,1,NA,NA,NA,NA,Owned by others
"519 Church Street, Toronto, ON, M4Y 2C9",NA,1,NA,NA,1,NA,City Owned
"562 Church Street, Toronto, ON, M4Y 2E3",1,NA,NA,NA,NA,NA,Owned by others
"78 Clifton Road, Toronto, ON, M4T 2G2",1,NA,NA,NA,NA,NA,Owned by others
"2 College Street, Suite 306, Toronto, ON, M5G 1K3",1,NA,NA,NA,NA,NA,Owned by others
"40 College Street, Toronto, ON, M5G 2J3",NA,1,NA,NA,NA,NA,Owned by others
"101 College Street, Toronto, ON, M5G 1L7",NA,NA,NA,NA,1,NA,Owned by others
"108 Cumberland Street, Toronto, ON, M5R 1A6",NA,1,NA,NA,NA,NA,Owned by others
"118 Cumberland Street, Toronto, ON, M5R 1A6",NA,1,NA,NA,NA,NA,Owned by others
"120 Cumberland Street, Toronto, ON, M5R 1A6",1,1,1,NA,1,NA,Owned by others
"45 Davenport Road, Toronto, ON, M5R 1H2",1,NA,NA,NA,NA,NA,Owned by others
"61 Davenport Road, Toronto, ON, M5R 1H4",1,NA,NA,NA,1,NA,Owned by others
"110 Davenport Road, Toronto, ON, M5R 3R3",NA,1,NA,NA,NA,NA,Owned by others
"190 Davenport Road, Toronto, ON, M5R 1J2",NA,1,NA,NA,NA,NA,Owned by others
"192 Davenport Road, Toronto, ON, M5R 1J2
",NA,1,NA,NA,NA,1,Owned by others
"198 Davenport Road, Suite 196, Toronto, ON, M5R 1J2",NA,1,NA,NA,NA,NA,Owned by others
"1 Dundas Street East, Toronto, ON, M5B 2R8",1,NA,1,NA,1,NA,City Owned
"10 Dundas Street East, Toronto, ON, M5B 2G9",NA,NA,1,NA,NA,NA,Owned by others
"179 Dundas Street East, Toronto, ON, M5A 1Z4",1,NA,NA,NA,NA,NA,Owned by others
"14 Elm Street, Toronto, ON, M5G 1G7",1,1,NA,NA,NA,NA,Owned by others
"33 Gerrard Street East, Toronto, ON, M5G 1Z4",NA,NA,NA,NA,1,NA,Owned by others
"43 Gerrard Street East, Toronto, ON, M5B 1W7",1,NA,NA,NA,NA,NA,Owned by others
"44 Gerrard Street East, Toronto, ON, M5B 2K3",1,NA,NA,NA,NA,NA,Owned by others
"80 Gerrard Street East, Toronto, ON, M5B 1G6",NA,1,NA,NA,NA,NA,Owned by others
"111 Gerrard Street East, Toronto, ON, M5B 2K3",NA,NA,NA,NA,1,NA,Owned by others
"1 Gloucester Street, Suite 107, Toronto, ON, M4Y 1L8",1,NA,NA,NA,NA,NA,Owned by others
"63 Gould Street, Toronto, ON, M5B 1E9",NA,NA,NA,NA,1,NA,Owned by others
"80 Gould Street, Room 204, Toronto, ON, M5B 2K3",NA,NA,1,NA,NA,NA,Owned by others
"20 Grosvenor Street, Toronto, ON, M4Y 2V5",1,NA,NA,NA,1,NA,Owned by others
"12 Hazelton Avenue, Toronto, ON, M5R 2E2",NA,1,NA,NA,NA,NA,Owned by others
"16 Hazelton Avenue, Toronto, ON, M5R 2E2",NA,1,NA,NA,NA,NA,Owned by others
"22 Hazelton Avenue, Toronto, ON, M5R 2E2",NA,1,NA,NA,NA,NA,Owned by others
"33 Hazelton Avenue, Toronto, ON, M5R 2E2",NA,1,NA,NA,NA,NA,Owned by others
"35 Hazelton Avenue, Toronto, ON, M5R 1M6",1,1,NA,NA,1,NA,Owned by others
"212-33 Hazelton Avenue, Toronto, ON, M5R 2E3",NA,1,NA,NA,NA,NA,Owned by others
"75 Huntley Street, Toronto, ON, M4Y 2P1",NA,1,NA,NA,NA,NA,Owned by others
"34 Isabella Street, Toronto, ON, M4Y 1N1",NA,NA,NA,NA,NA,NA,Owned by others
"400 Jarvis Street, Toronto, ON, M4Y 2G6",1,NA,NA,NA,1,NA,Owned by others
"404 Jarvis Street, Toronto, ON, M4Y 2G6",1,NA,NA,NA,NA,NA,Owned by others
"449 Jarvis Street, Toronto, ON, M4Y 2G8",NA,NA,NA,NA,1,NA,Owned by others
"129 Mount Pleasant Road, Toronto, ON, M4W 2S3",1,NA,NA,NA,1,NA,Owned by others
"56 Queen Street East, Toronto, ON, M5C 2Z3",1,NA,NA,NA,NA,NA,Owned by others
"100 Queen Street West, Toronto, ON, M5H 2N2",NA,1,NA,NA,1,NA,City Owned
"111 Queen's Park Crescent, Toronto, ON, M5S 2C7",NA,1,NA,NA,NA,NA,Owned by others
"71 Queen's Park Crescent East, Toronto, ON, M5S 1K7",NA,1,NA,NA,NA,NA,Owned by others
"73 Queen's Park Crescent East, Toronto, ON, M5S 1K7",NA,NA,1,NA,1,NA,Owned by others
"73 Queen's Park Crescent East, Toronto, ON, M5S 2C5",NA,1,1,NA,NA,NA,Owned by others
"159 Roxborough Drive, Toronto, ON, M4W 1X7",1,NA,NA,NA,1,NA,Owned by others
"112 Scollard Street, Toronto, ON, M5R 1G2",NA,1,NA,NA,NA,NA,Owned by others
"121 Scollard Street, Toronto, ON, M5R 1G4",NA,1,NA,NA,NA,NA,Owned by others
"150 Sherbourne Street, Toronto, ON, M5A 2R6",NA,NA,NA,NA,1,NA,City Owned
"410 Sherbourne Street, Toronto, ON, M4X 1K2",1,NA,NA,NA,NA,NA,Owned by others
"520 Sherbourne Street, Toronto, ON, M4X 1K8",1,NA,NA,NA,1,NA,Owned by others
"12 St. Joseph Street, Toronto, ON, M5S 3C2",1,NA,NA,NA,NA,NA,Owned by others
"20 St. Joseph Street, Toronto, ON, M4Y 1J9",1,1,NA,NA,1,NA,Owned by others
"50 St. Joseph Street, Toronto, ON, M5S 1J4",1,NA,NA,NA,NA,NA,Owned by others
"18 St. Thomas Street, Toronto, ON, M5S 3E7",NA,NA,NA,NA,1,NA,Owned by others
"10 Trinity Square, Toronto, ON, M5G 1B1",1,NA,NA,NA,NA,NA,Owned by others
"481 University Avenue, Toronto, ON, M5G 2E9",NA,1,NA,NA,NA,NA,Owned by others
"178 Victoria Street, Toronto, ON, M5B 1T6",1,NA,NA,NA,NA,NA,Owned by others
"200 Victoria Street, Toronto, ON, M5B 1V8",NA,1,1,NA,1,NA,Owned by others
"244 Victoria Street, Toronto, ON, M5B 1V8",1,NA,NA,NA,NA,NA,Owned by others
"251 Victoria Street, Toronto, ON, M5B 1T8",1,NA,NA,NA,1,NA,Owned by others
"253 Victoria Street, Toronto, ON, M5B 1T8",1,NA,NA,NA,NA,NA,Owned by others
"350 Victoria Street, Toronto, ON, M5B 2K3",1,NA,1,NA,1,NA,Owned by others
"74 Wellesley Street West, Toronto, ON, M5S 1C5",1,NA,NA,NA,1,NA,Owned by others
"100 Wellesley Street West, Toronto, ON, M5S 2Z5",NA,NA,NA,NA,1,NA,Owned by others
"110 Wellesley Street West, Toronto, ON, M7A 1A2",1,NA,NA,NA,1,NA,Owned by others
"189 Yonge Street, Toronto, ON, M5B 1M4",1,NA,NA,NA,1,NA,Owned by others
"279 Yonge Street, Toronto, ON, M5B 1N8",1,NA,NA,NA,NA,NA,Owned by others
"444 Yonge Street, Toronto, ON, M5B 2H4",1,NA,NA,NA,1,NA,Owned by others
"641 Yonge Street, Toronto, ON, M4Y 1Z9",NA,1,NA,NA,NA,NA,Owned by others
"651 Yonge Street, Toronto, ON, M4Y 1Z9",1,NA,NA,NA,NA,NA,Owned by others
"789 Yonge Street, Toronto, ON, M4W 2G8",1,NA,1,1,NA,NA,City Owned
"850 Yonge Street, Toronto, ON, M4W 2G8",NA,NA,NA,NA,1,NA,Owned by others
"888 Yonge Street, Toronto, ON, M4W 2J2",1,NA,NA,NA,1,NA,Owned by others
"1199 Yonge Street, Toronto, ON, M4T 3A8",NA,1,NA,NA,1,NA,Owned by others
"22 Yorkville Avenue, Toronto, ON, M4W 1L4",NA,1,NA,1,NA,NA,City Owned
"70 Yorkville Avenue, Toronto, ON, M5R 1B9",1,NA,NA,NA,NA,NA,Owned by others
"88 Yorkville Avenue, Toronto, ON, M5R 1C1",1,NA,NA,NA,1,NA,Owned by others
"110 Yorkville Avenue, Toronto, ON, M5R 1B9",NA,1,NA,NA,NA,NA,Owned by others
"136 Yorkville Avenue, Toronto, ON, M5R 1C2",1,NA,NA,NA,1,NA,Owned by others
"140 Yorkville Avenue, Toronto, ON, M5R 1C2",NA,1,NA,NA,NA,NA,Owned by others
"57 Adelaide Street East, Toronto, ON, M5C 1K6",1,NA,NA,NA,NA,1,Owned by others
"260 Adelaide Street East, Toronto, ON, M5A 3W8",NA,1,NA,NA,NA,1,Owned by others
"40 Bay Street, Toronto, ON, M5J 2X2",1,NA,NA,NA,NA,1,Owned by others
"181 Bay Street, Toronto, ON, M5J 2T6",NA,1,NA,NA,NA,1,Owned by others
"234 Bay Street, Toronto, ON, M5K 1B2",NA,1,NA,NA,1,1,Owned by others
"366 Bay Street, Toronto, ON, M5H 4B2",1,NA,NA,NA,NA,NA,Owned by others
"401 Bay Street, 8th Floor, Toronto, ON, M5H 2Y4",1,NA,NA,NA,NA,NA,Owned by others
"401 Bay Street, Toronto, ON, M5H 2Y4",NA,1,1,NA,NA,NA,Owned by others
"26 Berkeley Street, Toronto, ON, M5A 2W3",1,NA,NA,NA,NA,NA,City Owned
"56 Berkeley Street, Toronto, ON, M5A 2W6",NA,1,NA,NA,NA,1,Owned by others
"70 Berkeley Street, Toronto, ON, M5A 2W6",1,NA,NA,NA,NA,1,City Owned
"95 Berkeley Street, Toronto, ON, M5A 2W8",NA,1,NA,NA,NA,NA,Owned by others
"85 Bleecker Street, Toronto, ON, M4X 1X1",1,NA,NA,NA,1,NA,Owned by others
"525 Bloor Street East, Toronto, ON, M4W 1J1",1,NA,NA,NA,1,1,Owned by others
"41 Britain Street, Toronto, ON, M5A 2R2",1,1,NA,NA,1,NA,Owned by others
"157 Carlton Street, Toronto, ON, M5A 2S3",1,NA,NA,NA,NA,1,Owned by others
"191 Carlton Street, Toronto, ON, M5A 2K7",1,1,NA,NA,NA,1,Owned by others
"6 Case Goods Lane, Toronto, ON, M5A 3C4",NA,1,NA,NA,NA,NA,Owned by others
"15 Case Goods Lane, Suite 306, Toronto, ON, M5A 3C4",1,NA,NA,NA,NA,NA,Owned by others
"17 Church Street, Toronto, ON, M5E 1M2",NA,1,NA,NA,NA,1,Owned by others
"65 Church Street, Toronto, ON, M5C 2E9",1,1,NA,NA,NA,1,Owned by others
"47 Colborne Street, Unit 306, Toronto, ON, M5E1P8",NA,NA,NA,NA,NA,1,Owned by others
"55 Colborne Street, Toronto, ON, M5E 1C6",1,NA,NA,NA,NA,1,Owned by others
"32 Distillery Lane, Toronto, ON, M5A 3C4",NA,1,NA,NA,NA,1,Owned by others
"25 Dockside Drive, Toronto, ON, M5A 0B5",NA,NA,1,NA,NA,NA,Owned by others
"585 Dundas Street East, Toronto, ON, M5A 2B7",1,NA,NA,NA,1,NA,Owned by others
"585 Dundas Street East, Suite 130, Toronto, ON, M5A 2B7",1,NA,1,NA,NA,NA,Owned by others
"20 Fifth Street, Ward's Island, Toronto, ON, M5J 2B9",1,NA,NA,NA,1,NA,Owned by others
"145 Fifth Street, Toronto, ON, M8V 2Z5",NA,1,NA,NA,NA,NA,Owned by others
"1 Front Street East, Toronto, ON, M5E 1B2",1,NA,NA,NA,NA,1,City Owned
"27 Front Street East, Toronto, ON, M5E 1B4",1,NA,NA,NA,1,NA,City owned
"45 Front Street East, Toronto, ON, M5E 1B3",1,NA,NA,NA,1,1,Owned by others
"49 Front Street East, Toronto, ON, M5E 1B3",1,NA,NA,NA,NA,1,Owned by others
"67 Front Street East, Toronto, ON, M5E 1B5",1,NA,NA,NA,NA,1,Owned by others
"71 Front Street East, Toronto, ON, M5E 1B5",1,NA,NA,NA,NA,NA,Owned by others
"80 Front Street East, Toronto, ON, M5E 1X9",1,1,1,NA,1,NA,Owned by others
"91 Front Street East, Toronto, ON, M5E 1C2",NA,1,NA,NA,1,1,City Owned
"95 Front Street East, Toronto, ON, M5E 1C2",NA,1,NA,NA,NA,1,Owned by others
"165 Front Street East, Toronto, ON, M5A 3Z4",1,NA,NA,NA,1,1,City Owned
"171 Front Street East, Toronto, ON, M5A 4H3",NA,NA,NA,1,NA,NA,City Operated
"227 Front Street East, Toronto, ON, M5A 1E8",1,NA,NA,NA,1,1,Owned by others
"100 Front Street West, Toronto, ON, M5J 1E3",1,NA,NA,NA,NA,1,Owned by others
"65 George Street, Toronto, ON, M5A 4L8",NA,1,NA,NA,NA,NA,Owned by others
"145 George Street, Toronto, ON, M5A 2M6",1,NA,NA,NA,NA,NA,Owned by others
"204 Gerrard Street East, Toronto, ON, M5A 2E6",NA,NA,NA,NA,1,NA,Owned by others
"222 Gerrard Street East, Toronto, ON, M5A 2E8",1,NA,1,NA,NA,NA,Owned by others
"269 Gerrard Street East, Toronto, ON, M5A 2G3",NA,NA,NA,1,1,1,City Operated
"415 Gerrard Street East, Toronto, ON, M5A 2H4",1,NA,NA,NA,1,NA,City Owned
"33 Harbour Square, Toronto, ON, M5J 2G2",NA,1,NA,NA,NA,NA,Owned by others
"129 Jarvis Street, Toronto, ON, M5C 2H6",NA,NA,NA,NA,1,NA,Owned by others
"91 King Street East, Toronto, ON, M5C 1G3",1,NA,1,NA,NA,NA,Owned by others
"111 King Street East, Toronto, ON, M5C 1G6",NA,1,NA,NA,1,NA,City Owned
"157 King Street East, 4th Floor, Toronto, ON, M5C 1G9",1,NA,NA,NA,NA,1,City Owned
"169 King Street East, Toronto, ON, M5A 1J4",NA,1,NA,NA,NA,1,Owned by others
"200 King Street East, Toronto, ON, M5A 3W8",NA,1,NA,NA,1,1,Owned by others
"300 King Street East, Toronto, ON, M5A 1K4",NA,1,NA,NA,NA,1,Owned by others
"310 King Street East, Toronto, ON, M5A 1K6",NA,1,NA,NA,NA,NA,Owned by others
"380 King Street East, Toronto, ON, M5A 1K9",NA,1,NA,NA,NA,NA,Owned by others
"461 King Street East, Toronto, ON, M5A 1L6",NA,1,NA,NA,NA,1,Owned by others
"1 King Street West, Toronto, ON, M5H 1A1",1,NA,NA,NA,NA,1,Owned by others
"4 King Street West, Toronto, ON, M5H 4C7",NA,1,NA,NA,NA,1,Owned by others
"100 King Street West, Toronto, ON, M5X 2A2",1,1,NA,NA,NA,NA,Owned by others
"130 King Street West, Toronto, ON, M5X1 E3",NA,1,NA,NA,NA,NA,Owned by others
"102 Lakeshore Avenue, Toronto, ON, M5J 1X9

",1,NA,NA,NA,NA,NA,Owned by others
"443 Lakeshore Avenue, Toronto, ON, M5J 2W2",NA,1,NA,NA,1,1,City Owned
"110 Lombard Street, Toronto, ON, M5C 1M3",NA,NA,NA,NA,1,1,Owned by others
"49 Lower Jarvis Street, Toronto, ON, M5E 1R8",1,NA,NA,NA,NA,NA,Owned by others
"37 Mill Street, Building 37, Toronto, ON, M5A 3R6",NA,1,NA,NA,NA,NA,Owned by others
"55 Mill Street, Building 9, Suite 102, Toronto, ON, M5A 3C4",NA,1,NA,NA,NA,1,Owned by others
"55 Mill Street, Building 60, Toronto, ON, M5A 3C4",NA,1,NA,NA,NA,1,Owned by others
"55 Mill Street, Building 47, Suite 101, Toronto, ON, M5A 3C4",NA,1,NA,NA,NA,1,Owned by others
"55 Mill Street, Building 4, Toronto, ON, M5A 3C4",NA,1,NA,NA,NA,1,Owned by others
"55 Mill Street, Building 58, Suite 317, Toronto, ON, M5A 3C4",NA,1,NA,NA,NA,1,Owned by others
"55 Mill Street, Building 58, Suite 315, Toronto, ON, M5A 3C4",1,NA,NA,NA,NA,1,Owned by others
"55 Mill Street, Building 74, Suite 104, Toronto, ON, M5A 3C4",NA,1,NA,NA,NA,1,Owned by others
"55 Mill Street, Building 74, Suite 102, Toronto, ON, M5A 3C4",NA,1,NA,NA,NA,1,Owned by others
"55 Mill Street, Building 32, Toronto, ON, M5A 3C4",NA,1,NA,NA,NA,1,Owned by others
"55 Mill Street, Building 59, Suite 103, Toronto, ON, M5A 3C4",NA,1,NA,NA,NA,1,Owned by others
"55 Mill Street, Building 36, Suite 100, Toronto, ON, M5A 3C4",NA,1,NA,NA,NA,1,Owned by others
"55 Mill Street, Building 36, Toronto, ON, M5A 3C4",NA,1,NA,NA,NA,1,Owned by others
"40 Oak Street, Toronto, ON, M5A 0A1",1,NA,NA,NA,1,NA,Owned by others
"349 Ontario Street, Toronto, ON, M5A 2V8",1,1,NA,NA,1,NA,Owned by others
"675 Ontario Street, Toronto, ON, M4X 1N4",NA,NA,NA,NA,1,NA,Owned by others
"37 Parliament Street, Studio 2, Toronto, ON, M5A 2Y2",1,NA,NA,NA,NA,NA,Owned by others
"304 Parliament Street, Toronto, ON, M5A 3A4",1,NA,NA,NA,NA,NA,Owned by others
"422 Parliament Street, Toronto, ON, M5A 2A2",NA,NA,NA,NA,1,NA,Owned by others
"454 Parliament Street, Toronto, ON, M5A 2H6",1,NA,NA,NA,NA,NA,Owned by others
"476 Parliament Street, 2nd Floor, Toronto, ON, M4X 1P2",1,NA,NA,NA,NA,NA,Owned by others
"488 Parliament Street, Toronto, ON, M4X 1P3",NA,1,NA,NA,NA,NA,Owned by others
"509 Parliament Street, Toronto, ON, M4X 1P3",1,NA,NA,NA,NA,NA,Owned by others
"83 Power Street, Toronto, ON, M5A 3A8",1,NA,NA,NA,1,1,Owned by others
"111 Queen Street East, Toronto, ON, M5C 1S2",1,NA,NA,NA,1,1,Owned by others
"315 Queen Street East, Toronto, ON, M5A 1S7",NA,1,NA,NA,1,1,Owned by others
"382 Queen Street East, Toronto, ON, M5A 1T1",NA,1,NA,NA,NA,NA,Owned by others
"468 Queen Street East, Suite LL01, Toronto, ON, M6G 1C0",1,NA,NA,NA,NA,NA,Owned by others
"500 Queen Street East, Toronto, ON, M5A 1T9",1,NA,NA,NA,NA,1,Owned by others
"503 Queen Street East, Toronto, ON, M5A 1V1",NA,1,NA,NA,NA,NA,Owned by others
"145 Queen Street West, Toronto, ON, M5H 4G1",1,NA,NA,NA,NA,NA,Owned by others
"132 Queen's Quay East, Toronto, ON, M5A 3Y5",1,NA,NA,NA,NA,NA,Owned by others
"67 Richmond Street East, Toronto, ON, M5C 1N9",1,NA,NA,NA,NA,NA,Owned by others
"190 Richmond Street East, Toronto, ON, M5A 1P1",1,NA,NA,NA,1,NA,Owned by others
"230 Richmond Street East, Toronto, ON, M5A 1P4",NA,1,NA,NA,NA,NA,Owned by others
"260 Richmond Street East, Toronto, ON, M5A 1P4",NA,1,NA,NA,NA,NA,Owned by others
"145 Richmond Street West, Toronto, ON, M5H 2L2
",NA,NA,NA,NA,NA,1,Owned by others
"203 Sackville Street, Toronto, ON, M5A 3H1",NA,NA,1,NA,1,1,City Operated
"585 Dundas Street East, Toronto, ON, M5A 2B7",1,NA,NA,NA,NA,NA,Owned by others
"116.5 Sherbourne Street, Toronto, ON, M5A 2R2",NA,1,NA,NA,NA,NA,Owned by others
"118 Sherbourne Street, Toronto, ON, M5A 4S8",1,NA,1,NA,1,NA,Owned by others
"353 Sherbourne Street, Toronto, ON, M5A 2S3",1,NA,NA,NA,1,1,Owned by others
"495 Sherbourne Street, Toronto, ON, M4X 1K7",1,NA,NA,NA,1,NA,City Owned
"495 Sherbourne Street, Toronto, ON, M4X 1K9",NA,NA,NA,1,NA,NA,City Owned
"545 Sherbourne Street, Toronto, ON, M4X 1W5",NA,1,NA,NA,1,NA,Owned by others
"619 Sherbourne Street, Toronto, ON, M4X 1L7",1,NA,NA,NA,1,NA,Owned by others
"52 St. Lawrence Street, Toronto, ON, M5A 3N1",NA,1,NA,NA,NA,NA,Owned by others
"58 Sumach Street, Toronto, ON, M5A 3J7",1,NA,NA,NA,1,NA,Owned by others
"7 Tank House Lane, Toronto, ON, M5A 3C4",NA,1,NA,NA,NA,NA,Owned by others
"18 Tank House Lane, Toronto, ON, M5A 3C4",1,NA,NA,NA,NA,NA,Owned by others
"50 Tank House Lane, Toronto, ON, M5A 3C4",1,NA,NA,NA,NA,NA,Owned by others
"110 The Esplanade, Toronto, ON, M5E 1X9",1,NA,NA,NA,1,NA,Owned by others
"230 The Esplanade, Toronto, ON, M5A 4J6",NA,1,1,NA,1,NA,City Owned
"250 The Esplanade, Suite 500, Toronto, ON, M5A 1J2",NA,1,NA,NA,NA,1,Owned by others
"4 Trinity Street, Toronto, ON, M5A 3C4",NA,1,NA,NA,NA,NA,Owned by others
"106 Trinity Street, Toronto, ON, M5A 3C6",NA,1,NA,NA,1,1,Owned by others
"20 Victoria Street, Toronto, ON, M5C 2N8",1,1,NA,NA,NA,1,Owned by others
"260 Wellesley Street East, Unit 102, Toronto, ON, M4X 1G6",NA,NA,NA,NA,1,NA,Owned by others
"52 Wellington Street East, Toronto, ON, M5E 1C9",1,NA,NA,NA,NA,NA,Owned by others
"51 Winchester Street, Toronto, ON, M4X 1A8",1,1,1,NA,NA,1,Owned by others
"51 Winchester Street, A, Toronto, ON, M4X 1R7",1,NA,NA,NA,NA,1,Owned by others
"80 Winchester Street, Toronto, ON, M4X 1B1",1,NA,NA,NA,NA,1,Owned by others
"201 Winchester Street, Toronto, ON, M4X 1B8",1,NA,NA,NA,NA,1,City Owned
"1 Yonge Street, Toronto, ON, M5E 1W7",NA,NA,1,NA,NA,NA,Owned by others
"30 Yonge Street , Toronto, ON, M5E 1X8",NA,1,NA,NA,NA,NA,Owned by others
